trial,verification_ms,nullifier_ms,signing_ms,total_ms
1,6159354,11933,144460,6526481
2,6463395,6390,127491,6665946
3,6272331,7660,120331,6485969
4,6103215,7278,217878,6465920
5,5304468,7931,164376,5586365
6,6418974,6499,113849,6631316
7,6377939,7642,138937,6597944
8,6207322,6440,126061,6423229
9,6614094,8420,297889,7023816
10,5335425,7295,106976,5523929
11,6207422,5978,131069,6411219
12,6146251,5782,112752,6332632
13,6412730,6405,143622,6634263
14,6398213,11906,118487,6600157
15,6379118,6869,145942,6626777
16,6091508,7867,120329,6290891
17,6585710,8931,131353,6796398
18,5400969,6571,99665,5576574
19,6308249,7257,124464,6532623
20,6099678,8095,119107,6299370
21,5959738,6315,120669,6161965
22,5169546,6709,100186,5343005
23,5229270,7150,104738,5405743
24,6257402,8111,124317,6462932
25,6258918,8389,124235,6466032
26,6156350,7747,137827,6374802
27,5241808,7963,118361,5433207
28,6366142,7433,122657,6575531
29,6065851,7318,118244,6263728
30,6152860,7649,122754,6353670
31,6083954,5854,110495,6266802
32,6298450,6957,117333,6485775
33,6355689,7437,114157,6544800
34,6645389,6784,136864,6867828
35,6264312,7053,117738,6478644
36,6274931,7993,117171,6500999
37,6211794,8679,131286,6436454
38,6037600,7329,131109,6255646
39,6062652,6628,116992,6249406
40,6121211,7728,111435,6311637
41,6230197,7168,116670,6422113
42,5153904,7755,105089,5336120
43,5108892,5951,95696,5266345
44,5162685,6885,103104,5348028
45,6236974,9490,118813,6438800
46,6615443,10784,122112,6825536
47,6101605,7637,116778,6296005
48,6400367,8486,123098,6621469
49,5205088,7183,105720,5383341
50,7953148,13948,212895,8342504
51,6200558,7295,268407,6787211
52,5421244,7188,105891,5632432
53,5231943,6372,113758,5418221
54,5488407,7839,112915,5673157
55,10320449,10441,578463,11007223
56,5325284,8385,106749,5543358
57,6782267,10552,129297,6992670
58,6401843,7709,121408,6591828
59,6131266,7609,117166,6330305
60,5206334,7285,104680,5394113
61,6743646,7664,121530,6940135
62,7325867,9521,120463,7536172
63,6154239,7065,142593,6376530
64,6146808,6714,111959,6340345
65,6213922,6956,118959,6407109
66,5894189,7110,111778,6072310
67,6305694,9572,123522,6505311
68,6071114,7762,110744,6254993
69,6370019,9642,125940,6629446
70,6034355,6206,106421,6215512
71,6306931,7607,119578,6500163
72,5760843,8902,113147,5952937
73,5233838,7347,106420,5408403
74,6115547,8900,176854,6395265
75,6096701,6036,113667,14794500
76,6160072,7946,122178,6364068
77,5260672,12036,127328,5476626
78,6167309,8085,134354,6384493
79,6127484,7418,120243,6325370
80,6131152,8425,122023,6336693
81,6132188,6361,106585,6294004
82,6287917,7301,113571,6483662
83,6297637,8517,131238,6504446
84,5112326,8195,119577,5306895
85,5834069,5882,101336,5998483
86,5544978,5770,100710,5700979
87,6178549,7403,114461,6364696
88,6168831,7757,118062,6368489
89,5870811,7290,143588,6080736
90,5313919,9003,105404,5487773
91,6063500,6095,111042,6238095
92,6068543,7606,126284,6288401
93,6196113,7186,114887,6381828
94,5781524,8551,111981,5973045
95,6177006,7645,114400,6361883
96,6252663,7832,119451,6455017
97,5934925,6308,110338,6110410
98,5429762,6920,103889,5599657
99,6041928,6177,113396,6223374
100,6236438,8123,203353,6539411
101,6234139,6219,111803,6414377
102,6105157,23160,206260,6416469
103,5262117,6507,102695,5429160
104,6740231,7245,126402,6956157
105,6309665,8471,133577,6537699
106,5382398,7586,114703,5576112
107,5456999,7579,122341,5658580
108,6191112,6196,115280,6370726
109,6184508,7687,123812,6383981
110,6019971,6902,113323,6200973
111,6191912,6774,114949,6380828
112,5449897,14039,170548,5718099
113,6279898,6502,113645,6466374
114,6525785,8086,121590,6720886
115,6162572,7475,118455,6357378
116,6326116,6297,113585,6508189
117,6255301,9224,163492,6501995
118,5971706,7002,109076,6147935
119,5954409,6028,131129,6147226
120,5185076,6423,99940,5350913
121,5541728,10668,135067,5762527
122,6258047,7058,115895,6458145
123,5871487,6659,106080,6043874
124,6335602,7426,117713,6531201
125,6220408,7654,120663,6421057
126,6078316,8121,117621,6267313
127,6085272,7289,114603,6275295
