k,template instances,non-linear constraints,linear constraints,public inputs,private inputs,public outputs,wires,labels,ldp
5000,441,1547265,2099393,0,10017,4,3636615,7569960,true
2500,440,784673,1053713,0,5017,4,1833343,3814946,true
1000,436,326873,425713,0,2017,4,750543,1561762,true
500,435,173865,215393,0,1017,4,388215,809156,true
250,434,97973,111713,0,517,4,209143,436794,true
100,431,52193,48913,0,217,4,100863,212126,true
50,430,36525,26993,0,117,4,63375,134788,true
25,429,29303,17513,0,67,4,46723,99835,true
10,425,24725,11233,0,37,4,35895,77402,true
5,424,22791,8153,0,27,4,30891,67471,true
1,422,22223,8057,0,19,4,30235,65439,true
5000,361,1544227,2097913,0,10017,3,3632134,7562882,false
2500,360,781635,1052233,0,5017,3,1828862,3807868,false
1000,356,323835,424233,0,2017,3,746062,1554684,false
500,355,170827,213913,0,1017,3,383734,802078,false
250,354,94935,110233,0,517,3,204662,429716,false
100,351,49155,47433,0,217,3,96382,205048,false
50,350,33487,25513,0,117,3,58894,127710,false
25,349,26265,16033,0,67,3,42242,92757,false
10,345,21687,9753,0,37,3,31414,70324,false
5,344,19753,6673,0,27,3,26410,60393,false
1,341,19185,6577,0,19,3,25754,58361,false
streaming,412,19228,5012,0,19,9,24201,55285,true
streaming,261,16757,3766,0,19,8,20520,49502,false
