k,template instances,non-linear constraints,linear constraints,public inputs,private inputs,public outputs,wires,labels,chain
5,498,24062,11212,0,33,4,35226,75179,True
10,499,24122,11232,0,38,4,35311,75477,True
25,502,25526,14252,0,53,4,39750,83783,True
50,503,28274,20272,0,78,4,48543,100129,True
100,503,32546,29352,0,128,4,61945,125493,True
250,508,46586,59552,0,278,4,106335,208987,True
500,507,70394,110872,0,528,4,181713,350983,True
1000,511,116786,210552,0,1028,4,328285,628097,True
2500,509,257186,512552,0,2528,4,772185,1469557,True
5000,515,491594,1016872,0,5028,4,1513413,2876655,True
5,497,24065,11213,0,33,4,35230,75190,False
10,498,24080,11218,0,38,4,35255,75304,False
25,503,25349,14193,0,53,4,39514,83050,False
50,504,27872,20138,0,78,4,48007,98446,False
100,505,31694,29068,0,128,4,60809,121906,False
250,508,44384,58818,0,278,4,103399,199704,False
500,509,65942,109388,0,528,4,175777,332204,False
1000,510,107834,207568,0,1028,4,316349,590322,False
2500,513,234734,505068,0,2528,4,742249,1374806,False
5000,514,446642,1001888,0,5028,4,1453477,2686908,False
